股票代码,公司名称,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
300051,琏升科技,,-49.15%,,10.76%,,83.61%,-49.06%,-126.64%,,一季报
300061,旗天科技,,6.18%,,264.52%,,58.71%,29.56%,7.88%,,一季报
300073,当升科技,,137.19%,,150.25%,,36.10%,15.46%,6.63%,,一季报
300075,数字政通,,5.24%,,54.26%,,16.15%,42.92%,5.51%,,一季报
300077,国民技术,,29.86%,,26.34%,,61.12%,17.03%,-4.13%,,一季报
300079,数码视讯,,-7.32%,,32.62%,,7.51%,56.42%,8.46%,,一季报
300084,海默科技,,-46.81%,,12.13%,,16.91%,40.40%,-39.62%,,一季报
300088,长信科技,,-11.78%,,-39.88%,,50.43%,9.46%,2.05%,,一季报
300097,智云股份,,-47.67%,,39.87%,,68.60%,9.08%,-117.72%,,一季报
300101,振芯科技,,-26.62%,,-147.72%,,36.29%,58.75%,-8.74%,,一季报
300102,乾照光电,,-47.27%,,6.59%,,32.00%,18.30%,7.24%,,一季报
300105,龙源技术,,-34.78%,,-70.56%,,28.14%,40.99%,11.16%,,一季报
300115,长盈精密,,16.74%,,-28.39%,,65.32%,18.54%,2.47%,,一季报
300113,顺网科技,,-50.77%,,9.56%,,12.86%,69.00%,30.95%,,一季报
300124,汇川技术,,12.98%,,-23.39%,,45.55%,29.08%,10.08%,,一季报
300128,锦富技术,,25.11%,,-9.87%,,88.61%,6.89%,-11.75%,,一季报
300134,大富科技,,11.90%,,3.93%,,32.10%,11.54%,-8.61%,,一季报
300136,信维通信,,14.31%,,35.35%,,43.24%,21.77%,5.26%,,一季报
300139,晓程科技,,74.46%,,307.96%,,19.98%,66.44%,41.93%,,一季报
300151,昌红科技,,-3.85%,,-4.41%,,35.88%,28.71%,5.30%,,一季报
300162,雷曼光电,,-12.27%,,-716.92%,,43.37%,23.67%,-6.60%,,一季报
300168,万达信息,,10.40%,,73.88%,,81.44%,26.09%,-7.91%,,一季报
300170,汉得信息,,6.39%,,10.69%,,15.67%,34.87%,4.40%,,一季报
300176,鸿特科技,,-1.44%,,-13.05%,,62.82%,14.34%,1.63%,,一季报
300184,力源信息,,52.01%,,240.58%,,43.43%,10.86%,4.84%,,一季报
300188,国投智能,,-23.58%,,-20.19%,,36.57%,36.89%,-97.46%,,一季报
300193,佳士科技,,13.85%,,-45.38%,,25.61%,26.79%,7.95%,,一季报
300203,聚光科技,,-25.00%,,-254.06%,,67.67%,38.62%,-21.32%,,一季报
300209,行云科技,,397.86%,,-12845.40%,,41.70%,7.08%,-19.54%,,一季报
300220,金运激光,,-10.36%,,-196.18%,,74.00%,26.77%,-4.54%,,一季报
300221,银禧科技,,13.22%,,114.45%,,36.72%,21.23%,6.73%,,一季报
300222,科大智能,,-9.68%,,29.43%,,58.82%,26.81%,4.28%,,一季报
300231,银信科技,,-16.21%,,-42.14%,,32.77%,15.18%,3.29%,,一季报
300232,洲明科技,,-11.17%,,-252.00%,,54.00%,23.27%,-6.18%,,一季报
300235,方直科技,,-20.58%,,-68.27%,,2.28%,82.84%,10.88%,,一季报
300242,佳云科技,,-58.07%,,54.07%,,32.88%,11.80%,-2.93%,,一季报
300241,瑞丰光电,,23.61%,,5.78%,,39.80%,20.27%,6.69%,,一季报
300250,初灵信息,,-11.70%,,-8612.83%,,27.14%,40.41%,-5.16%,,一季报
300256,星星科技,,-12.30%,,-154.25%,,48.15%,7.64%,-6.62%,,一季报
