股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
002279,久其软件,11.09,63.1,55.49,4.08,-1.13,6.97,,0
002261,拓维信息,2.22,595.56,293.4,12.35,0.39,25.6,,0
002273,水晶光电,2.13,31.05,364.88,3.64,2.26,26.71,,0
002289,宇顺电子,1.55,40.07,106.07,21.82,1.68,38.65,,0
002281,光迅科技,3.56,128.82,1414.07,10.3,3.62,179.9,,0
002291,遥望科技,6.77,-21.06,47.45,1.76,5.0,5.46,,0
002297,博云新材,6.17,47.49,106.2,4.62,1.76,18.53,,0
002306,ST云网,1.8,-30.59,17.55,32.64,2.37,2.16,,0
002296,辉煌科技,1.82,20.71,31.51,1.42,0.44,9.07,,0
002326,永太科技,2.83,102.78,152.37,5.87,-1.68,18.77,,0
002315,焦点科技,2.52,22.62,67.81,3.84,0.98,25.68,,0
002313,日海智能,4.87,-19.35,32.87,38.19,4.03,8.78,,0
002337,赛象科技,1.32,82.2,28.1,2.1,0.84,4.78,,0
002331,皖通科技,6.22,-8.77,29.15,2.2,4.02,7.25,,0
002335,科华数据,2.89,40.74,203.33,3.54,0.65,30.82,,0
002338,奥普光电,1.78,94.75,104.21,5.4,1.83,43.42,,0
002339,积成电子,2.39,812.66,35.86,2.18,0.54,7.49,,0
002362,汉王科技,4.96,-17.93,34.33,4.67,4.16,16.53,,0
002369,卓翼科技,4.09,-14.59,35.83,25.22,0.48,6.32,,0
002373,千方科技,2.9,162.76,110.48,1.11,5.11,8.02,,0
002384,东山精密,3.17,101.16,2744.92,14.88,1.22,198.0,,0
002409,雅克科技,5.83,65.25,453.48,8.47,0.22,142.37,,0
002420,毅昌科技,3.33,12.92,25.24,3.08,3.14,6.25,,0
002421,达实智能,8.37,-12.19,68.21,2.62,2.76,3.35,,0
002428,云南锗业,7.78,910.09,657.58,43.03,1.04,100.7,,0
002436,兴森科技,6.44,282.55,546.61,10.85,0.64,36.01,,0
002426,胜利精密,1.68,-10.85,88.16,6.16,1.47,2.76,最新报道_2011年上市公司年报_财经_中国网 | 《习近平关于基层工作方法论述摘编》出版发行 | 进发!向着更加光明的未来 | 山东财经前沿——中国新闻网山东 | 深蓝梦想从这里启航(强军路上),5
